loc_id : (125247,) | plant_code : 620 | R2 : 0.7557 | date_att: 2018-11-06
loc_id : (404860,) | plant_code : 55927 | R2 : 0.9892 | date_att: 2018-11-06
loc_id : (24255,) | plant_code : 641 | R2 : 0.9601 | date_att: 2018-11-06
loc_id : (441496,) | plant_code : 55939 | R2 : 0.9562 | date_att: 2018-11-06
loc_id : (125342,) | plant_code : 643 | R2 : 0.9855 | date_att: 2018-11-06
loc_id : (434545,) | plant_code : 58005 | R2 : 0.9760 | date_att: 2018-11-06
loc_id : (428621,) | plant_code : 55965 | R2 : 0.9835 | date_att: 2018-11-06
loc_id : (21433,) | plant_code : 55972 | R2 : 0.6813 | date_att: 2018-11-06
loc_id : (421785,) | plant_code : 710 | R2 : 0.9417 | date_att: 2018-11-06
loc_id : (445825,) | plant_code : 60122 | R2 : 0.9698 | date_att: 2018-11-06
loc_id : (60037,) | plant_code : 56031 | R2 : 0.9855 | date_att: 2018-11-06
loc_id : (440626,) | plant_code : 58079 | R2 : 0.9822 | date_att: 2018-11-06
loc_id : (62541,) | plant_code : 54041 | R2 : 0.9446 | date_att: 2018-11-06
loc_id : (31260,) | plant_code : 56102 | R2 : 0.9868 | date_att: 2018-11-06
loc_id : (21475,) | plant_code : 56104 | R2 : 0.9422 | date_att: 2018-11-06
loc_id : (28005,) | plant_code : 52019 | R2 : 0.9250 | date_att: 2018-11-06
loc_id : (26957,) | plant_code : 52026 | R2 : 0.8599 | date_att: 2018-11-06
loc_id : (68029,) | plant_code : 54076 | R2 : 0.9348 | date_att: 2018-11-06
loc_id : (84225,) | plant_code : 2880 | R2 : 0.7697 | date_att: 2018-11-06
loc_id : (62543,) | plant_code : 50002 | R2 : 0.9625 | date_att: 2018-11-06
loc_id : (21470,) | plant_code : 56164 | R2 : 0.6404 | date_att: 2018-11-06
loc_id : (23381,) | plant_code : 7013 | R2 : 0.9728 | date_att: 2018-11-06
loc_id : (31253,) | plant_code : 56177 | R2 : 0.9933 | date_att: 2018-11-06
loc_id : (83506,) | plant_code : 52087 | R2 : 0.5607 | date_att: 2018-11-06
loc_id : (83545,) | plant_code : 7032 | R2 : 0.6101 | date_att: 2018-11-06
loc_id : (83589,) | plant_code : 52089 | R2 : 0.8179 | date_att: 2018-11-06
loc_id : (444331,) | plant_code : 58260 | R2 : 0.9788 | date_att: 2018-11-06
loc_id : (85552,) | plant_code : 50109 | R2 : 0.9850 | date_att: 2018-11-06
loc_id : (406678,) | plant_code : 56259 | R2 : 0.9633 | date_att: 2018-11-06
loc_id : (84513,) | plant_code : 976 | R2 : 0.9984 | date_att: 2018-11-06
loc_id : (447946, 450372) | plant_code : 991 | R2 : 0.5760 | date_att: 2018-11-06
loc_id : (84109,) | plant_code : 1001 | R2 : 0.9207 | date_att: 2018-11-06
loc_id : (84242,) | plant_code : 1007 | R2 : 0.9942 | date_att: 2018-11-06
loc_id : (23430,) | plant_code : 56328 | R2 : 0.9264 | date_att: 2018-11-06
loc_id : (403669,) | plant_code : 3096 | R2 : 0.9531 | date_att: 2018-11-06
loc_id : (24907,) | plant_code : 56350 | R2 : 0.7545 | date_att: 2018-11-06
loc_id : (445513,) | plant_code : 58426 | R2 : 0.7649 | date_att: 2018-11-06
loc_id : (445956,) | plant_code : 3131 | R2 : 0.9921 | date_att: 2018-11-06
loc_id : (445202,) | plant_code : 3138 | R2 : 0.9403 | date_att: 2018-11-06
loc_id : (29147,) | plant_code : 50243 | R2 : 0.9971 | date_att: 2018-11-06
loc_id : (445907,) | plant_code : 3140 | R2 : 0.9692 | date_att: 2018-11-06
loc_id : (21285,) | plant_code : 7237 | R2 : 0.7639 | date_att: 2018-11-06
loc_id : (125437,) | plant_code : 56400 | R2 : 0.9670 | date_att: 2018-11-06
