date_attr,plant_code,loc_id,R2,status
2018-11-15,2049,24275,0.9975,good
2018-11-15,2050,83395,0.9919,good
2018-11-15,55297,59976,0.9938,good
2018-11-15,2053,24274,0.9930,good
2018-11-15,55298,23951,0.9348,good
2018-11-15,7,80676,0.9247,good
2018-11-15,55317,26999,0.9533,good
2018-11-15,55322,29017,0.9726,good
2018-11-15,2079,85960,0.9976,good
2018-11-15,55328,28663,0.9954,good
2018-11-15,55332,80732,0.7219,good
2018-11-15,55334,84890,0.9913,good
2018-11-15,55337,30566,0.9248,good
2018-11-15,55340,22552,0.9950,good
2018-11-15,6190,423616;84429,0.9990,good
2018-11-15,55343,28756,0.5887,good
2018-11-15,51,413864,0.6816,good
2018-11-15,55347,28017,0.6051,good
2018-11-15,55349,28015,0.9053,good
2018-11-15,54,30662;62591,0.9867,good
2018-11-15,55350,427568,0.9891,good
2018-11-15,55358,30607,0.9786,good
2018-11-15,4162,31179,0.7047,good
2018-11-15,10307,26959,0.9932,good
2018-11-15,55364,82353,0.9853,good
2018-11-15,55372,28674,0.9984,good
2018-11-15,55380,83766,0.9943,good
2018-11-15,55386,404821,0.9882,good
2018-11-15,55391,59956,0.5308,good
2018-11-15,55392,84896;410458,0.8659,good
2018-11-15,55395,403851;403791,0.7912,good
2018-11-15,6246,125386,0.6833,good
2018-11-15,55401,30628,0.7924,good
2018-11-15,55405,82492,0.9971,good
2018-11-15,55406,432008;80756,0.9989,good
2018-11-15,6253,59934,0.8153,good
2018-11-15,55409,80683,0.9736,good
2018-11-15,55411,87011,0.9972,good
2018-11-15,55412,31977,0.9959,good
2018-11-15,55414,125328,0.7021,good
2018-11-15,55415,32002;125348,0.5728,good
2018-11-15,120,407051;28379;425411,0.7267,good
2018-11-15,55417,84904;425985;29132,0.7701,good
2018-11-15,55438,86991,0.6704,good
2018-11-15,55439,23965,0.9922,good
2018-11-15,55440,80633;408363,0.9941,good
2018-11-15,55451,62720,0.9707,good
2018-11-15,55455,85838,0.6081,good
2018-11-15,160,28576,0.5826,good
2018-11-15,170,23270,0.9903,good
