insight_date,location_id,plant_code,insight_noms
2018-02-01,83489,10099,199848.0
2018-03-01,83489,10099,195706.0
2018-04-01,83489,10099,53123.0
2018-05-01,83489,10099,72841.0
2014-01-01,26959,10307,72200.0
2014-02-01,26959,10307,24500.0
2014-03-01,26959,10307,8000.0
2014-04-01,26959,10307,27100.0
2014-05-01,26959,10307,2800.0
2014-06-01,26959,10307,8000.0
2014-07-01,26959,10307,826589.0
2014-08-01,26959,10307,1019943.0
2014-09-01,26959,10307,384790.0
2014-10-01,26959,10307,1190257.0
2014-11-01,26959,10307,11900.0
2014-12-01,26959,10307,50000.0
2015-01-01,26959,10307,32100.0
2015-02-01,26959,10307,8023.0
2015-03-01,26959,10307,53500.0
2015-04-01,26959,10307,15500.0
2015-05-01,26959,10307,1783978.0
2015-06-01,26959,10307,2068346.0
2015-07-01,26959,10307,1592324.0
2015-08-01,26959,10307,1911714.0
2015-09-01,26959,10307,1966448.0
2015-10-01,26959,10307,1368814.0
2015-11-01,26959,10307,110449.0
2015-12-01,26959,10307,67267.0
2016-01-01,26959,10307,0.0
2016-02-01,26959,10307,0.0
2016-03-01,26959,10307,0.0
2016-04-01,26959,10307,704552.0
2016-05-01,26959,10307,574766.0
2016-06-01,26959,10307,397751.0
2016-07-01,26959,10307,1312530.0
2016-08-01,26959,10307,1410479.0
2016-09-01,26959,10307,700781.0
2016-10-01,26959,10307,684373.0
2016-11-01,26959,10307,69334.0
2016-12-01,26959,10307,60000.0
2017-01-01,26959,10307,59112.0
2017-02-01,26959,10307,34892.0
2017-03-01,26959,10307,15003.0
2017-04-01,26959,10307,532501.0
2017-05-01,26959,10307,255312.0
2017-06-01,26959,10307,1091076.0
2017-07-01,26959,10307,1775071.0
2017-08-01,26959,10307,1229742.0
2017-09-01,26959,10307,1409076.0
2017-10-01,26959,10307,1293134.0
2017-11-01,26959,10307,106853.0
2017-12-01,26959,10307,9644.0
2018-01-01,26959,10307,30050.0
2018-02-01,26959,10307,0.0
2018-03-01,26959,10307,35100.0
2018-04-01,26959,10307,0.0
2018-05-01,26959,10307,0.0
2014-01-01,84724,1048,0.0
2014-02-01,84724,1048,0.0
2014-03-01,84724,1048,0.0
2014-04-01,84724,1048,0.0
2014-05-01,84724,1048,0.0
2014-06-01,84724,1048,0.0
2014-07-01,84724,1048,0.0
2014-08-01,84724,1048,0.0
2014-09-01,84724,1048,0.0
2014-10-01,84724,1048,0.0
2014-11-01,84724,1048,0.0
2014-12-01,84724,1048,0.0
2015-01-01,84724,1048,0.0
2015-02-01,84724,1048,0.0
2015-03-01,84724,1048,0.0
2015-04-01,84724,1048,0.0
2015-05-01,84724,1048,0.0
2015-06-01,84724,1048,0.0
2015-07-01,84724,1048,0.0
2015-08-01,84724,1048,0.0
2015-09-01,84724,1048,0.0
2015-10-01,84724,1048,0.0
2015-11-01,84724,1048,0.0
2015-12-01,84724,1048,0.0
2016-01-01,84724,1048,0.0
2016-02-01,84724,1048,0.0
2016-03-01,84724,1048,0.0
2016-04-01,84724,1048,0.0
2016-05-01,84724,1048,0.0
2016-06-01,84724,1048,0.0
2016-07-01,84724,1048,0.0
2016-08-01,84724,1048,0.0
2016-09-01,84724,1048,0.0
2016-10-01,84724,1048,0.0
2016-11-01,84724,1048,0.0
2016-12-01,84724,1048,0.0
2017-01-01,84724,1048,0.0
2017-02-01,84724,1048,0.0
2017-03-01,84724,1048,0.0
2017-04-01,84724,1048,0.0
2017-05-01,84724,1048,0.0
2017-06-01,84724,1048,0.0
2017-07-01,84724,1048,0.0
2017-08-01,84724,1048,0.0
2017-09-01,84724,1048,0.0
2017-10-01,84724,1048,0.0
2017-11-01,84724,1048,0.0
2017-12-01,84724,1048,0.0
2018-01-01,84724,1048,0.0
2018-02-01,84724,1048,0.0
2018-03-01,84724,1048,0.0
2018-04-01,84724,1048,0.0
2018-05-01,84724,1048,0.0
2014-01-01,23294,10627,377988.0
2014-02-01,23294,10627,225595.0
2014-03-01,23294,10627,240126.0
2014-04-01,23294,10627,269501.0
2014-05-01,23294,10627,190000.0
2014-06-01,23294,10627,183000.0
2014-07-01,23294,10627,191000.0
2014-08-01,23294,10627,186500.0
2014-09-01,23294,10627,168000.0
2014-10-01,23294,10627,263412.0
2014-11-01,23294,10627,389103.0
2014-12-01,23294,10627,235996.0
2015-01-01,23294,10627,226000.0
2015-02-01,23294,10627,195500.0
2015-03-01,23294,10627,283684.0
2015-04-01,23294,10627,214000.0
2015-05-01,23294,10627,158000.0
2015-06-01,23294,10627,144500.0
2015-07-01,23294,10627,195190.0
2015-08-01,23294,10627,146000.0
2015-09-01,23294,10627,188505.0
2015-10-01,23294,10627,202999.0
2015-11-01,23294,10627,141600.0
2015-12-01,23294,10627,162499.0
2016-01-01,23294,10627,187944.0
2016-02-01,23294,10627,144000.0
2016-03-01,23294,10627,132032.0
2016-04-01,23294,10627,307978.0
2016-05-01,23294,10627,131500.0
2016-06-01,23294,10627,122800.0
2016-07-01,23294,10627,129000.0
2016-08-01,23294,10627,136000.0
2016-09-01,23294,10627,129000.0
2016-10-01,23294,10627,244084.0
2016-11-01,23294,10627,157200.0
2016-12-01,23294,10627,171800.0
2017-01-01,23294,10627,177711.0
