loc_id : 125265;441756 | plant_code : 609 | R2 : 0.4784 | date_att: 2018-11-08
loc_id : 125451;125452 | plant_code : 613 | R2 : 0.1315 | date_att: 2018-11-08
loc_id : 125269;443431 | plant_code : 617 | R2 : 0.2816 | date_att: 2018-11-08
loc_id : 125284;125439 | plant_code : 621 | R2 : 0.0638 | date_att: 2018-11-08
loc_id : 125294 | plant_code : 624 | R2 : 0.0007 | date_att: 2018-11-08
loc_id : 417922 | plant_code : 10870 | R2 : 0.0531 | date_att: 2018-11-08
loc_id : 125240 | plant_code : 630 | R2 : 0.0004 | date_att: 2018-11-08
loc_id : 62718 | plant_code : 2682 | R2 : 0.3185 | date_att: 2018-11-08
loc_id : 125179;31975 | plant_code : 634 | R2 : 0.0284 | date_att: 2018-11-08
loc_id : 426130;80839 | plant_code : 638 | R2 : 0.1114 | date_att: 2018-11-08
loc_id : 85871 | plant_code : 6791 | R2 : 0.1429 | date_att: 2018-11-08
loc_id : 125249;125253 | plant_code : 663 | R2 : 0.1531 | date_att: 2018-11-08
loc_id : 125153;125285 | plant_code : 665 | R2 : 0.2224 | date_att: 2018-11-08
loc_id : 125379 | plant_code : 675 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 30611;449742 | plant_code : 55976 | R2 : 0.4902 | date_att: 2018-11-08
loc_id : 125318 | plant_code : 688 | R2 : 0.1583 | date_att: 2018-11-08
loc_id : 125407 | plant_code : 689 | R2 : 0.0054 | date_att: 2018-11-08
loc_id : 125304 | plant_code : 693 | R2 : 0.3944 | date_att: 2018-11-08
loc_id : 21458 | plant_code : 56013 | R2 : 0.0468 | date_att: 2018-11-08
loc_id : 29882 | plant_code : 56017 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 449951 | plant_code : 56047 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 30584 | plant_code : 2847 | R2 : 0.1673 | date_att: 2018-11-08
loc_id : 83610 | plant_code : 2854 | R2 : 0.1224 | date_att: 2018-11-08
loc_id : 83609 | plant_code : 2869 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 447312;450249;447311 | plant_code : 50006 | R2 : 0.0665 | date_att: 2018-11-08
loc_id : 86063 | plant_code : 56151 | R2 : 0.0913 | date_att: 2018-11-08
loc_id : 436305;422965;85382 | plant_code : 862 | R2 : 0.1219 | date_att: 2018-11-08
loc_id : 447143 | plant_code : 52072 | R2 : 0.3419 | date_att: 2018-11-08
loc_id : 428996 | plant_code : 52085 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 84474;84371;84475 | plant_code : 887 | R2 : 0.2904 | date_att: 2018-11-08
loc_id : 425751;29007 | plant_code : 7082 | R2 : 0.0331 | date_att: 2018-11-08
loc_id : 29027 | plant_code : 56237 | R2 : 0.1112 | date_att: 2018-11-08
loc_id : 68141 | plant_code : 56238 | R2 : 0.4240 | date_att: 2018-11-08
loc_id : 405440 | plant_code : 3008 | R2 : 0.0169 | date_att: 2018-11-08
loc_id : 29040;145811;83999 | plant_code : 50134 | R2 : 0.0012 | date_att: 2018-11-08
loc_id : 24853 | plant_code : 56283 | R2 : 0.0794 | date_att: 2018-11-08
loc_id : 20096 | plant_code : 7137 | R2 : 0.0279 | date_att: 2018-11-08
loc_id : 30593;404177 | plant_code : 7158 | R2 : 0.2893 | date_att: 2018-11-08
loc_id : 84724 | plant_code : 1048 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 31978;125131 | plant_code : 7238 | R2 : 0.0336 | date_att: 2018-11-08
loc_id : 130633 | plant_code : 3148 | R2 : 0.1669 | date_att: 2018-11-08
loc_id : 31980 | plant_code : 54365 | R2 : 0.0204 | date_att: 2018-11-08
loc_id : 86393 | plant_code : 7281 | R2 : 0.4653 | date_att: 2018-11-08
loc_id : 27925 | plant_code : 56445 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 86330;86331 | plant_code : 7296 | R2 : 0.0995 | date_att: 2018-11-08
loc_id : 125177;31988 | plant_code : 7302 | R2 : 0.1304 | date_att: 2018-11-08
loc_id : 28857 | plant_code : 56458 | R2 : 0.1613 | date_att: 2018-11-08
loc_id : 125133 | plant_code : 54426 | R2 : 0.3825 | date_att: 2018-11-08
loc_id : 85012 | plant_code : 7325 | R2 : 0.0606 | date_att: 2018-11-08
loc_id : 125114 | plant_code : 7345 | R2 : 0.0075 | date_att: 2018-11-08
loc_id : 404823 | plant_code : 3254 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 83249 | plant_code : 50389 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 86328 | plant_code : 1239 | R2 : 0.0508 | date_att: 2018-11-08
loc_id : 27719 | plant_code : 7393 | R2 : 0.0003 | date_att: 2018-11-08
loc_id : 86367 | plant_code : 1252 | R2 : 0.4564 | date_att: 2018-11-08
loc_id : 405736 | plant_code : 56556 | R2 : 0.1059 | date_att: 2018-11-08
loc_id : 428460 | plant_code : 56564 | R2 : 0.0962 | date_att: 2018-11-08
loc_id : 83011 | plant_code : 3325 | R2 : 0.0608 | date_att: 2018-11-08
loc_id : 85877 | plant_code : 1279 | R2 : 0.1762 | date_att: 2018-11-08
loc_id : 84198 | plant_code : 7425 | R2 : 0.3844 | date_att: 2018-11-08
loc_id : 85913 | plant_code : 1295 | R2 : 0.0008 | date_att: 2018-11-08
loc_id : 442920;443194;68293 | plant_code : 56603 | R2 : 0.0139 | date_att: 2018-11-08
loc_id : 86070 | plant_code : 1308 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 28477 | plant_code : 7456 | R2 : 0.2631 | date_att: 2018-11-08
loc_id : 83969;145787;29046 | plant_code : 50494 | R2 : 0.0387 | date_att: 2018-11-08
loc_id : 62584 | plant_code : 1355 | R2 : 0.1038 | date_att: 2018-11-08
loc_id : 404170 | plant_code : 1383 | R2 : 0.0715 | date_att: 2018-11-08
loc_id : 62451;24335 | plant_code : 1393 | R2 : 0.0321 | date_att: 2018-11-08
loc_id : 24116;413853 | plant_code : 1394 | R2 : 0.4018 | date_att: 2018-11-08
loc_id : 30826 | plant_code : 3441 | R2 : 0.3538 | date_att: 2018-11-08
loc_id : 83350;59862 | plant_code : 1400 | R2 : 0.3506 | date_att: 2018-11-08
loc_id : 24118 | plant_code : 1403 | R2 : 0.4602 | date_att: 2018-11-08
loc_id : 23297;24486 | plant_code : 1404 | R2 : 0.4452 | date_att: 2018-11-08
loc_id : 131192;23671 | plant_code : 50555 | R2 : 0.4062 | date_att: 2018-11-08
loc_id : 28451 | plant_code : 3456 | R2 : 0.0994 | date_att: 2018-11-08
loc_id : 430523;425887 | plant_code : 1416 | R2 : 0.0020 | date_att: 2018-11-08
loc_id : 24504 | plant_code : 3476 | R2 : 0.4592 | date_att: 2018-11-08
loc_id : 22512 | plant_code : 3478 | R2 : 0.4998 | date_att: 2018-11-08
loc_id : 423898 | plant_code : 1443 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 404034 | plant_code : 1449 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 83970;29063 | plant_code : 50612 | R2 : 0.2406 | date_att: 2018-11-08
loc_id : 30341 | plant_code : 1464 | R2 : 0.4616 | date_att: 2018-11-08
loc_id : 62535 | plant_code : 50662 | R2 : 0.0278 | date_att: 2018-11-08
